species,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus
Latrodectus hesperus,2157942,Animalia,Arthropoda,NA,Araneae,Theridiidae,Latrodectus
Anaxyrus woodhousii,2422865,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus
Lithobates catesbeianus,2427091,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates
Accipiter cooperii,2480621,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
Accipiter striatus,9740253,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
Actitis macularius,2481798,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis
Agelaius phoeniceus,9409198,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius
Aimophila ruficeps,2491961,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Aimophila
Aix sponsa,2498387,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix
Amphispiza bilineata,2491757,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza
Anas acuta,2498112,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas americana,2498154,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas clypeata,2498089,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas crecca,8214667,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas cyanoptera,2498139,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas discors,2498073,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas platyrhynchos,9761484,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anas strepera,2498151,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Anser albifrons,2498017,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser
Anser cygnoides,2498034,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser
Anthus rubescens,2490263,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus
Aphelocoma woodhouseii,5844900,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma
Aquila chrysaetos,2480506,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila
Archilochus alexandri,5228513,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus
Ardea alba,9752617,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea
Ardea herodias,9630752,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea
Artemisiospiza nevadensis,8276794,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Artemisiospiza
Athene cunicularia,2497240,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene
Aythya affinis,2498257,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya
Aythya americana,2498263,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya
Aythya collaris,2498264,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya
Aythya valisineria,2498256,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya
Baeolophus ridgwayi,2487898,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus
Bombycilla cedrorum,2484609,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla
Branta canadensis,5232437,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta
Branta hutchinsii,5232452,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta
Bubo virginianus,5959118,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo
Bubulcus ibis,2480830,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus
Bucephala albeola,2498329,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala
Bucephala clangula,2498326,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala
Buteo jamaicensis,2480542,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
Buteo regalis,2480566,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
Buteo swainsoni,2480562,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
Buteogallus anthracinus,2480651,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus
Calamospiza melanocorys,2491893,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Calamospiza
Callipepla gambelii,5228072,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla
Callipepla squamata,5228075,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla
Campylorhynchus brunneicapillus,5231474,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus
Cardellina pusilla,7341606,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina
Cathartes aura,2481930,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes
Catharus guttatus,2490810,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus
Catherpes mexicanus,5231430,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Catherpes
Certhia americana,9581157,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia
Charadrius vociferus,2480320,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius
Chen caerulescens,2498165,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen
Chen rossii,2498160,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen
Chondestes grammacus,2491651,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Chondestes
Circus cyaneus,2480487,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus
Cistothorus palustris,2493863,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus
Colaptes auratus,2478259,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes
Columba livia,2495414,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba
Contopus cooperi,5229743,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus
Contopus sordidulus,5229754,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus
Corvus brachyrhynchos,2482507,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
Corvus corax,2482492,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
Corvus cryptoleucus,2482500,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus
Cyanocitta stelleri,2482598,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta
Dryobates villosus,10211179,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates
Egretta thula,2480873,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
Empidonax oberholseri,2482803,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Empidonax wrightii,9585359,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Eremophila alpestris,9415596,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila
Euphagus cyanocephalus,2484183,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus
Falco columbarius,9813242,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
Falco mexicanus,2481000,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
Falco peregrinus,2481047,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
Falco sparverius,9685907,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco
Fulica americana,2474393,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica
Gallinago delicata,2481817,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago
Geococcyx californianus,2496459,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx
Geothlypis tolmiei,5789146,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis
Geothlypis trichas,2489670,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis
Grus canadensis,2474953,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus
Gymnorhinus cyanocephalus,5229498,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus
Haemorhous cassinii,8255548,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous
Haemorhous mexicanus,8323485,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous
Haliaeetus leucocephalus,2480446,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus
Hirundo rustica,9515886,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo
Icteria virens,2489989,Animalia,Chordata,Aves,Passeriformes,Parulidae,Icteria
Icterus bullockii,5229864,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus
Icterus parisorum,5229930,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus
Junco hyemalis,9362842,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco
Lanius ludovicianus,2492870,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius
Larus delawarensis,2481134,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus
Leiothlypis celata,8169649,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis
Leiothlypis luciae,8293756,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis
Leiothlypis virginiae,8314699,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis
Leucophaeus pipixcan,5846430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus
Leucosticte australis,2494359,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte
Leucosticte tephrocotis,2494360,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte
Lophodytes cucullatus,2498408,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes
Megaceryle alcyon,2475472,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle
Megascops kennicottii,2497341,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops
Melospiza lincolnii,2492192,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza
Melospiza melodia,2492196,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza
Melozone fusca,7341622,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone
Mergus merganser,9537647,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus
Mimus polyglottos,5231677,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus
Molothrus ater,2484391,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus
Myadestes townsendi,2490849,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes
Myiarchus cinerascens,2483600,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus
Nycticorax nycticorax,2480863,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax
Oreoscoptes montanus,2494973,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes
Oxyura jamaicensis,2498305,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura
Pandion haliaetus,2480726,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion
Passer domesticus,5231190,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer
Passerculus sandwichensis,5231142,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerculus
Passerina amoena,5230861,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina
Passerina caerulea,5230862,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina
Petrochelidon pyrrhonota,2489169,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon
Peucaea cassinii,6091692,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Peucaea
Phalacrocorax auritus,2481875,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
Phalacrocorax brasilianus,9399113,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax
Phasianus colchicus,9752149,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus
Pheucticus melanocephalus,2490487,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus
Picoides pubescens,2477781,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides
Picoides scalaris,2477813,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides
Pipilo chlorurus,2491276,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo
Pipilo maculatus,9709230,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo
Piranga ludoviciana,2488484,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga
Piranga rubra,2488485,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga
Plegadis chihi,9375033,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis
Podilymbus podiceps,2482077,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus
Poecile atricapillus,2487805,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile
Poecile gambeli,2487825,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile
Polioptila caerulea,2487596,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila
Pooecetes gramineus,2491728,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pooecetes
Psaltriparus minimus,2494988,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus
Quiscalus mexicanus,9476062,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus
Regulus calendula,2484597,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus
Riparia riparia,2489160,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia
Salpinctes obsoletus,5231483,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Salpinctes
Sayornis nigricans,2483612,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis
Sayornis saya,2483607,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis
Selasphorus platycercus,2476844,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus
Setophaga coronata,7341805,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
Setophaga nigrescens,7341770,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
Setophaga petechia,7341834,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
Sialia currucoides,2490935,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia
Sialia mexicana,2490936,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia
Sialia sialis,2490941,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia
Sitta canadensis,2484879,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta
Sitta carolinensis,2484892,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta
Sphyrapicus nuchalis,9406038,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus
Spinus pinus,5231635,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
Spinus psaltria,5231647,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
Spinus tristis,5231640,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
Spizella atrogularis,2492104,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella
Spizella breweri,2492099,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella
Spizella passerina,2492109,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella
Stelgidopteryx serripennis,2489202,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx
Streptopelia decaocto,2495696,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia
Sturnella magna,2484254,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella
Sturnella neglecta,9596413,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella
Sturnus vulgaris,9809229,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus
Tachycineta bicolor,2489181,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta
Tachycineta thalassina,5230754,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta
Thryomanes bewickii,2493843,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes
Toxostoma crissale,5231693,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma
Toxostoma curvirostre,5231688,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma
Troglodytes aedon,5231459,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes
Turdus migratorius,9510564,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus
Tyrannus verticalis,5229675,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus
Tyrannus vociferans,5229681,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus
Vireo gilvus,2487446,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
Vireo plumbeus,9353154,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
Vireo vicinior,2487411,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
Zenaida asiatica,2495370,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida
Zenaida macroura,2495347,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida
Zonotrichia albicollis,5231140,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia
Zonotrichia leucophrys,5231132,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia
Zonotrichia querula,5231139,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia
Canis latrans,5219153,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
Castor canadensis,2439838,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor
Erethizon dorsatus,6066824,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon
Lepus californicus,2436801,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus
Odocoileus hemionus,2440974,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus
Ondatra zibethicus,5219858,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra
Otospermophilus variegatus,7572569,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus
Procyon lotor,5218786,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon
Sylvilagus audubonii,2436910,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus
Apalone spinifera,2442680,Animalia,Chordata,Reptilia,Testudines,Trionychidae,Apalone
Aspidoscelis exsanguis,2472457,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis
Aspidoscelis neomexicana,2472483,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis
Chelydra serpentina,2441905,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra
Chrysemys picta,2443133,Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys
Crotaphytus collaris,2470616,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus
Holbrookia maculata,2451433,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Holbrookia
Phrynosoma hernandesi,5222456,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma
Phrynosoma modestum,5222463,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma
Pituophis catenifer,2453826,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis
Plestiodon obsoletus,5789621,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon
Sceloporus cowlesi,7566793,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus
Terrapene ornata,2443168,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Trachemys scripta,2443002,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys
Uta stansburiana,2451029,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Uta
Cornu aspersum,5858758,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu
Acanthocephala declivis,5156078,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Acanthocephala
Actias luna,1865668,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias
Agraulis vanillae,1907711,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Agraulis
Alaus oculatus,1162072,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Alaus
Argia fumipennis,5051473,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Arilus cristatus,2008593,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Arilus
Asterocampa celtis,1898416,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Asterocampa
Boisea trivittata,2050244,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Boisea
Bombus griseocollis,1340409,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Bombus impatiens,1340350,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Calopteryx maculata,5052005,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx
Camponotus americanus,5033542,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Camponotus pennsylvanicus,5034116,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Danaus plexippus,5133088,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus
Delphinia picta,1523573,Animalia,Arthropoda,Insecta,Diptera,Ulidiidae,Delphinia
Elkalyce comyntas,1920900,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Elkalyce
Epargyreus clarus,1947915,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Epargyreus
Eremnophila aureonotata,1347370,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Eremnophila
Erynnis horatius,5977216,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis
Erythemis simplicicollis,1429340,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis
Eupeodes americanus,1540711,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes
Halyomorpha halys,4485843,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Halyomorpha
Halysidota harrisii,1814365,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Halysidota
Halysidota tessellaris,1814338,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Halysidota
Harmonia axyridis,4989904,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia
Heliconius charithonia,1900233,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Heliconius
Hylephila phyleus,5715127,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hylephila
Ischnura posita,1423333,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura
Lerema accius,1950133,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lerema
Libytheana carinenta,1898402,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Libytheana
Limenitis astyanax,5132505,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis
Megacopta cribraria,5866311,Animalia,Arthropoda,Insecta,Hemiptera,Plataspidae,Megacopta
Neotibicen tibicen,8677069,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen
Oncopeltus fasciatus,2007764,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Oncopeltus
Pachydiplax longipennis,1428054,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pachydiplax
Papilio glaucus,1938016,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Papilio polibetes,9814629,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Phoebis sennae,1919653,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Phoebis
Phyciodes tharos,1918988,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes
Pieris rapae,1920496,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris
Plathemis lydia,4302510,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Plathemis
Prosapia bicincta,2017569,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Prosapia
Solenopsis invicta,5035230,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis
Toxomerus geminatus,1534234,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus
Toxomerus marginatus,1534183,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus
Urbanus proteus,1944314,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Urbanus
Vanessa virginiensis,4299370,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa
