"species","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","AUCdiff","CBItest","threshold","nobs","nthin","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain"
"Aceria fraxiniflora",6912571,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aceria","Aceria_fraxiniflora.csv",0.68256792400996,0.109773156289941,0.50325,0.70680791,117,117,"AHM;CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","9.1945;13.3691;11.644;2.6359;14.2749;9.9067;2.4955;7.9565;4.4018;4.1393;13.5016;6.4802","3.2079;17.0932;6.15;13.16;14.3366;6.3141;3.085;7.491;3.1436;17.8492;5.7665;2.4028","P",0.5,0.738625963671336
"Acericecis ocellaris",1596254,"Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","Acericecis","Acericecis_ocellaris.csv",0.787573591810756,0.124130821045932,0.84675,0.5816309,441,440,"AHM;CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","4.0804;14.9755;5.0124;4.5428;14.5184;13.7693;12.017;6.9058;0.6456;3.3874;14.7428;5.4026","5.9685;7.2027;13.9478;16.7926;3.9263;6.4175;11.973;8.4143;1.123;8.6731;8.7586;6.8027","P",1,0.752726275917065
"Achlyodes thraso",1945477,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes","Achlyodes_thraso.csv",0.746136701218266,0.148422586737924,0.81175,0.57211085,316,314,"AHM;CMD;DD_0;EMT;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0.8026;3.9249;9.5982;2.758;10.878;4.225;0.6088;8.2501;0;14.9162;1.8936;5.4942;0.9514;2.7898;2.6972;30.212","0.0695;0.298;6.3233;0.5191;7.6378;1.7535;0.4657;2.1892;24.3147;16.5525;2.0587;12.2745;2.4065;12.5528;0.9949;9.5893","LQHP",0.5,0.892161751705692
"Achyra rantalis",1892488,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Achyra","Achyra_rantalis.csv",0.752310120006828,0.199957397894215,0.64825,0.55584283,702,695,"AHM;CMD;DD1040;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;22.9187;0;0.9455;1.8106;0;16.5849;28.1402;0;0;6.6058;2.0704;20.0952;0;0.8286","0;13.9242;0;0.256;0.3519;0;12.5528;25.6165;0;0;0.5177;4.9373;14.9238;0;26.9199","Q",3,0.765625542694264
"Acleris semipurpurana",1739867,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Acleris_semipurpurana.csv",0.616061742225087,0.0991656357271868,0.508,0.54546996,194,190,"AHM;CMD;DD_0;EXT;MAP;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;0;14.5377;0;0;0;4.3561;0;0;1.231;0;39.6853;40.19","0;0.0129;4.2621;0.1464;0;0.0143;0.4311;0;0;0.1799;0.0536;44.3861;50.5136","L",3,0.682806125861031
"Acmaeodera flavomarginata",6003233,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_flavomarginata.csv",0.77817752390703,0.145359319884276,0.824,0.50938805,168,167,"CMD;DD_0;EMT;EXT;Eref;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP;eFFP","17.7146;4.2925;4.1601;1.3946;0;11.0132;0;2.7195;1.8916;0;22.004;8.4027;1.7865;3.9438;8.8286;10.27;1.5782","3.2155;0.2722;1.2953;1.3915;3.9358;17.7788;6.8835;8.4763;1.0587;0;35.6857;2.8069;0.2465;2.448;5.2223;9.0524;0.2305","LQ",0.5,0.775583893604333
"Acmaeodera mixta",6003363,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_mixta.csv",0.678603743343157,0.208960778484394,0.55325,0.46807125,253,252,"DD_0;EXT;Eref;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;SHM;bFFP","18.9538;0.6339;14.9296;6.8458;12.1559;11.1526;14.4635;11.2642;1.341;3.6684;4.5913","12.1262;1.5104;13.5436;13.8105;7.1973;4.4526;8.2616;31.0621;3.1091;1.3175;3.6091","LQHP",0.5,0.826790786027812
"Acmaeodera neglecta",6003362,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_neglecta.csv",0.884911178625628,0.0645064620008911,0.88925,0.38525315,107,107,"AHM;EXT;Eref;MWMT;PAS;PPT_at;PPT_sm;PPT_wt;RH;bFFP","0;16.2439;21.2328;2.337;26.5632;1.4279;9.898;4.5188;0.4834;17.2949","0.0549;2.1569;3.5278;17.8538;1.4244;1.5093;23.07;39.5071;0.3516;10.5442","H",0.5,0.927861532078007
"Acmaeodera ornatoides",6003368,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_ornatoides.csv",0.896072404371585,0.0561703096539162,0.91775,0.50815,160,160,"AHM;DD18;EXT;Eref;MWMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;bFFP","1.9602;18.1526;4.9645;5.7114;1.7938;12.6347;5.4126;4.7071;22.1335;9.3686;12.2592;0.9019","14.7945;10.8521;3.8747;13.0748;3.1475;9.9948;4.7762;12.9144;13.6679;8.6958;1.0455;3.1617","P",1.5,0.882327586206897
"Acmaeodera tubulus",6003251,"Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Acmaeodera","Acmaeodera_tubulus.csv",0.632638736791683,0.241218164260112,0.50125,0.57606514,291,291,"CMD;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","14.0351;4.5609;8.4331;7.8701;0.3452;13.543;6.8487;0.2765;4.6814;27.3366;1.509;8.4365;2.1239","3.426;7.5103;9.3527;13.1916;0.0215;39.6151;2.8767;2.1211;0.955;11.8236;2.053;6.7679;0.2855","LQHP",1,0.733444435831848
"Acontia candefacta",9038042,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acontia","Acontia_candefacta.csv",0.68492614638448,0.140982877718989,0.569,0.56184854,543,540,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","15.6581;8.1781;6.2683;11.9445;8.5747;3.468;5.0267;4.8113;9.1715;4.4605;12.0203;3.4746;6.9432","7.5215;8.2974;4.7657;21.9423;4.3526;5.6839;4.8402;3.3397;7.4491;4.3535;20.5217;1.7596;5.1729","P",0.5,0.726230858898956
"Acridotheres tristis",2489005,"Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Acridotheres_tristis.csv",0.832299936244146,0.103977394882332,0.94525,0.43438317,279,249,"AHM;CMD;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH","0.0251;9.7052;0.2923;4.4099;4.0675;0;0;2.1548;0;2.7562;76.589","2.8856;0.0778;13.8788;0.4136;1.6398;2.6229;41.7074;9.7056;0.5087;0.3713;26.1884","LQHP",2.5,0.924619690884751
"Acris blanchardi",2427610,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris_blanchardi.csv",0.721097334896774,0.0887002647867518,0.8235,0.59393702,2864,2863,"AHM;DD_0;EXT;MSP;MWMT;PPT_at;PPT_sp;PPT_wt;RH;bFFP","2.1108;10.4261;26.085;0.2482;0;28.1646;3.016;20.9726;4.1438;4.8329","7.1118;6.1498;9.513;0.0057;13.574;13.5887;4.0925;45.3106;0.3158;0.3381","H",1.5,0.773238620517861
"Acris crepitans",2427616,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris_crepitans.csv",0.830821878692985,0.130616378564124,0.7755,0.51437487,914,911,"AHM;EXT;Eref;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH","0.4988;0.4063;3.5817;4.0671;20.3388;2.9402;7.3718;36.1014;24.6938;0;0","0.4435;0.0423;3.6133;1.0841;22.0886;0.3348;17.3668;13.1376;21.2809;20.608;0","H",2,0.8107057190482
"Acrolophus cressoni",5122691,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_cressoni.csv",0.662885841656791,0.221084212704324,0.59825,0.49374657,132,132,"AHM;DD18;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.368;5.3358;15.6931;13.5352;11.136;7.1294;2.7531;7.9491;5.4986;6.6721;1.5142;2.9192;2.7013;16.795","24.0003;7.2518;7.9897;8.7449;3.0702;1.2836;3.6675;3.3356;2.2239;15.6226;10.095;5.3993;0.2877;7.0278","LQH",0.5,0.842708932139826
"Acrolophus panamae",5122683,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_panamae.csv",0.768253968532936,0.106010997503012,0.7875,0.48679893,113,113,"AHM;DD18;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;RH;SHM","1.624;9.6554;2.5203;0;1.5175;1.6832;0;19.1066;2.8369;9.895;26.8304;18.799;5.5317","0.4555;12.0083;1.3439;0.0236;0.2468;0.9106;6.8117;1.8883;16.9095;7.5942;24.7489;25.0623;1.9964","LQHP",0.5,0.874974815182183
"Acrolophus piger",5122526,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_piger.csv",0.73938980253581,0.216843096720785,0.57825,0.61390115,121,121,"AHM;Eref;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0.3634;3.1555;0.7512;0;35.9404;16.3406;0.2372;9.0675;0;34.1442","6.8873;2.7854;0.48;2.4459;7.1003;37.1711;1.9654;1.6477;2.2834;37.2334","P",2.5,0.748835113420644
"Acrolophus popeanella",5122702,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_popeanella.csv",0.736731311699969,0.114513530744441,0.686,0.56592126,872,867,"CMD;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.6481;5.1004;5.2166;14.189;6.6761;3.3989;16.8808;18.1076;7.4235;1.3277;21.0313","0.2156;5.2346;4.0115;13.5691;9.2507;2.6637;19.7508;21.1206;13.9094;4.3165;5.9576","LQH",0.5,0.791294167602321
"Acrolophus texanella",5122538,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_texanella.csv",0.679129975468159,0.142712354448043,0.544,0.63527443,199,197,"AHM;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","8.8424;11.6777;0.2728;12.1927;14.649;2.0403;9.1826;9.9872;6.4315;4.3999;6.0372;3.8305;10.4561","4.287;9.1899;18.4948;1.8026;2.3529;0.9254;9.846;14.5078;11.1479;2.5488;3.2671;7.5756;14.0543","P",0.5,0.682468997196655
"Acrolophus walsinghami",5122556,"Animalia","Arthropoda","Insecta","Lepidoptera","Acrolophidae","Acrolophus","Acrolophus_walsinghami.csv",0.827693617552693,0.113640239724795,0.81875,0.62681963,55,52,"AHM;CMD;DD_0;EXT;Eref;MWMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;SHM;eFFP","0;0;0;0;65.0904;0;0;0;2.318;0.8809;2.4571;29.2536;0","18.2945;3.1449;0;2.0724;46.1776;0.0022;0;0;0.6774;0.1574;0.6774;26.1551;2.6411","P",2.5,0.873440748440748
"Acromyrmex versicolor",1320667,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex","Acromyrmex_versicolor.csv",0.815474516677712,0.118479420060312,0.76375,0.45889871,90,90,"AHM;DD_0;EXT;Eref;MSP;PAS;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","16.7131;3.7734;6.7775;35.2799;8.221;0;6.0229;6.1767;11.3277;0;0;5.7078","1.3377;0.2278;1.998;17.1378;4.7461;27.6117;2.0343;34.4118;5.8695;1.5558;0.3534;2.7162","H",1,0.872078955746578
"Acronicta americana",1783008,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta_americana.csv",0.776533719180936,0.0954631547078512,0.875,0.58885058,3334,3316,"AHM;CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.2293;14.3514;8.0536;6.6451;6.0907;1.2623;1.5826;8.1646;26.149;1.3231;11.4048;12.7436","0.305;1.3639;8.7542;2.3036;3.6527;17.6564;0.9791;12.3452;38.6619;0.4536;0.6432;12.8812","LQH",1,0.805227924236051
"Acronicta oblinita",4301044,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta_oblinita.csv",0.781060118618083,0.078623575113323,0.909,0.53354372,812,805,"AHM;CMD;CMI;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.2201;9.2523;0.3933;21.2488;9.6968;0.4344;0.6013;4.566;11.6794;25.612;8.8309;0.639;6.8259","3.888;2.4272;0.0369;11.9384;8.1585;0.2739;9.4193;1.6269;8.4103;27.8861;24.9478;0.1109;0.8758","LQHP",0.5,0.798339188634485
"Actias luna",1865668,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Actias","Actias_luna.csv",0.745591846277237,0.134573824092567,0.8405,0.63511685,5896,5866,"AHM;CMD;CMI;DD_0;EXT;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0.6846;3.5878;0;50.2262;0;1.4936;11.175;5.1222;17.5331;9.2784;0.899;0;0","0.0443;0.3685;7.6193;40.9391;0;0.134;7.1285;0.6598;20.9959;0.7823;20.64;0.6882;0","L",1.5,0.729755483360156
"Actinemys marmorata",2442896,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys_marmorata.csv",0.734710781230174,0.103328144930678,0.96725,0.56889585,1270,1189,"AHM;CMD;DD18;DD_0;EXT;MCMT;PAS;PPT_sm;PPT_sp;RH;SHM;Tave_sp","7.4131;13.999;14.3387;3.0455;6.7832;0;0;20.143;0;0.5464;0;33.7312","32.206;3.8487;0.7839;24.0098;0.6373;9.2046;0;26.0063;0.031;0.0653;0;3.2071","Q",0.5,0.86039013328171
"Actitis macularius",2481798,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis_macularius.csv",0.725708356881684,0.102131209212874,0.914,0.6107923,72734,68842,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","7.9286;11.9633;13.3968;18.2582;7.8771;4.8932;0.7637;12.0071;9.4567;2.4131;4.6533;1.6296;0.6657;4.0937","1.3325;6.0802;0.8762;44.183;4.5887;2.0585;0.1747;7.627;0.6298;24.9594;4.6858;1.6671;0.12;1.0171","LQHP",0.5,0.760989338819759
"Aculus tetanothrix",4544042,"Animalia","Arthropoda","Arachnida","Trombidiformes","Eriophyidae","Aculus","Aculus_tetanothrix.csv",0.740153008326101,0.248677142840942,0.65275,0.80422153,320,318,"AHM;CMD;CMI;DD18;DD_0;EXT;MCMT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0;0.222;0;16.6981;0;2.5073;0;0;0.3409;0;0;10.0704;0;6.729;0;0;63.4322","0;0.1531;0;20.0528;0;0.1574;3.2683;0;0.0706;0;0;3.4599;0;1.4192;6.8248;0;64.5939","Q",2.5,0.705655580936621
"Adalia bipunctata",1043097,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Adalia","Adalia_bipunctata.csv",0.697590248075241,0.0785437220806832,0.6885,0.59966554,385,378,"AHM;CMD;CMI;DD18;DD_0;EXT;PAS;PPT_sm;PPT_sp;RH;SHM;Tave_sp;bFFP","17.0953;14.7318;0.6229;5.1815;14.7389;0.7391;12.1697;7.7686;6.9642;1.147;5.6928;6.7723;6.3758","4.1636;9.2789;1.608;7.6601;5.3827;22.3215;20.2165;6.5185;6.1379;1.2787;5.2381;1.7428;8.4527","P",0.5,0.780320399764844
"Adelges tsugae",2049739,"Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","Adelges_tsugae.csv",0.669695033086204,0.119135783504453,0.63,0.58228226,643,640,"AHM;DD18;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0.6992;5.0044;9.3231;14.1945;0;1.1353;0;28.9138;0;28.9636;0;0;10.3493;1.4167","14.8053;12.78;4.4256;13.4663;0;3.0747;0;25.8087;0;14.5301;0;0;10.955;0.1543","H",3,0.792716308078142
"Adonisea florida",1799634,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Adonisea","Adonisea_florida.csv",0.725940814200469,0.133808265201072,0.816,0.54689051,517,508,"CMI;DD18;DD_0;EXT;MSP;PAS;PPT_sp;PPT_wt;RH;SHM;eFFP","5.594;5.651;3.3414;3.8723;3.0562;19.0113;1.6188;40.1491;5.8408;5.5842;6.2808","0.6162;19.6014;11.0034;1.8299;0.7943;17.8956;1.2863;34.8793;5.9616;3.4472;2.6848","H",0.5,0.798970227463844
"Aechmophorus clarkii",2482032,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus_clarkii.csv",0.780266608129567,0.12540972043837,0.884,0.55909968,4596,4339,"AHM;CMD;DD18;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","3.4222;14.1843;6.4138;7.1266;0.0231;34.9621;0;0;13.0133;0;2.5484;0;0.0293;18.277","29.1646;3.1296;3.268;1.5187;0.0078;18.8058;0;0.2726;6.8911;19.2064;2.261;0.8196;9e-04;14.6539","P",3,0.791753658574285
"Aechmophorus occidentalis",2482033,"Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus_occidentalis.csv",0.74215075357518,0.115781408107621,0.82375,0.53257736,13129,12185,"AHM;CMD;CMI;DD18;DD_0;EXT;MCMT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.0423;5.6185;1.4195;11.6145;2.7146;12.9544;0.3449;19.452;12.3647;2.1144;2.6342;1.7074;3.0522;2.8391;19.1273","1.0439;2.489;0.3709;6.5483;4.3313;2.4197;2.0235;44.963;11.3737;1.781;6.4096;3.1193;5.2767;2.7728;5.0772","H",0.5,0.827484274135215
"Aedes aegypti",1651891,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes_aegypti.csv",0.689859635919336,0.159604997190321,0.842,0.58161994,1767,1685,"AHM;CMD;DD_0;EMT;EXT;Eref;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","2.9757;2.7531;8.4045;9.528;10.1678;6.1652;4.5848;2.9777;8.6874;8.9556;5.1612;3.9016;2.6562;13.5582;9.523","1.7181;3.912;23.1532;0.843;5.5167;3.9869;4.7344;23.7175;2.799;6.7822;6.3961;2.7256;0.9733;1.8477;10.8942","LQHP",0.5,0.847721646289232
"Aedes albopictus",1651430,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes_albopictus.csv",0.713903031476697,0.123721225035976,0.74625,0.5515497,1563,1525,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","1.6746;3.7179;3.1726;17.6542;0.6783;2.5682;8.7934;16.0214;1.4406;16.1815;15.5264;5.8723;6.4901;0.2084","1.5014;3.089;14.4217;6.2123;0.5843;2.083;7.6747;9.6774;0.8833;9.3146;11.1591;12.1357;20.4964;0.7671","LQHP",0.5,0.826458670227233
"Aegolius acadicus",5232207,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius_acadicus.csv",0.755868945715551,0.0870132088069829,0.9495,0.59305305,12607,12484,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0.1109;10.5679;0.5796;36.9717;2.6226;3.7034;0;6.4451;0;16.1519;0;0;1.6176;1.9502;0.2927;0.8933;18.0931;0","0.0104;27.8805;5.03;32.8744;6.3596;17.55;1.0266;0.5694;0;4.3413;0;0;0.1731;0.2248;0.0848;1.8991;1.976;0","LQ",0.5,0.783961783507705
"Aeronautes saxatalis",2477108,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes_saxatalis.csv",0.693354706101795,0.164674080877556,0.843,0.58484971,12130,11939,"AHM;CMD;DD18;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0.2113;19.9235;0;3.0699;16.6051;16.0409;2.5312;0.0148;4.7065;3.5592;11.2014;0;5.0075;17.1193;0.0093","1.9879;11.6406;0;18.4663;5.2868;45.9167;0.1975;0.4578;1.0446;0.5687;12.1074;0;0.2581;2.0613;0.0064","LQH",2,0.754152643929673
